단축코드,한글명,현재가,가중평균,고가,저가,PER,EPS,PEG,EPSRT,NETRT,ORDRT,OPERT,SALERT,업종
400,롯데손해보험,1860,1846,1860,1835,-23.84,-78.02013423,-1.122939237,21.23,21.23,16.94,-18.44,"3.89
",보험
3850,보령제약,14450,14377,14600,14250,32.99,438.0115186,-2.740033223,-12.04,24.14,21.32,-3.53,"3.36
",의약품
5740,크라운해태홀딩스,8870,8898,9100,8850,5.23,1695.984704,0.249522901,20.96,20.96,13.8,10.47,"8.45
",기타금융
5830,DB손해보험,58400,58724,60000,58200,8.23,7095.990279,0.377696191,21.79,21.79,25.58,24.36,"7.42
",보험
9580,무림P&P,4190,4188,4230,4170,-16.07,-260.7342875,-0.722896986,22.23,22.23,-10.95,-64.52,"2.76
",종이목재
10770,평화홀딩스,4720,4735,4795,4700,-3.38,-1396.449704,-0.168578554,20.05,20.05,16.7,-32.92,"-16.2
",운수장비
17900,광전자,3095,3027,3150,2985,-12,-257.9166667,-0.566572238,21.18,21.18,35.55,740.39,"11.19
",전기전자
34830,한국토지신탁,2280,2296,2340,2265,9.25,246.4864865,0.405523893,22.81,22.82,20.84,-4.23,"7.01
",기타금융
37560,LG헬로비전,6770,6844,6970,6760,-1.68,-4029.761905,-0.075573549,22.23,22.23,18.33,21.26,"0.34
",서비스업
42600,새로닉스,34600,34452,35550,33000,-144.2,-239.9445215,-5.917111202,24.37,24.38,-168.83,-73.16,"10.04
",IT부품
49630,재영솔루텍,1070,1080,1120,1065,-16.58,-64.53558504,-0.741502683,22.36,23.36,-96.07,-117.49,"23.85
",IT부품
52710,아모텍,31050,31114,31550,30900,-27.85,-1114.901257,-1.351941748,20.6,20.6,-49.89,-288.36,"-6.32
",IT부품
64090,에프앤리퍼블릭,2350,2415,2575,2350,-0.44,-5340.909091,0.001050445,-418.87,21.24,21.24,35.8,"-29.65
",유통
71280,로체시스템즈,5040,5043,5170,4995,10.23,492.6686217,0.477814106,21.41,21.41,19.44,9.74,"-37.1
",반도체
84650,랩지노믹스,24350,24895,25800,24350,6.47,3763.523957,0.336453458,19.23,22.5,27.6,17.84,"43.86
",기타서비스
115570,스타플렉스,5210,4950,5280,4430,-2.16,-2412.037037,-0.088199265,24.49,21.6,83.91,-19.52,"11.73
",화학
159580,제로투세븐,12400,12397,12650,12300,-456.8,-27.14535902,-21.31591227,21.43,21.43,3.47,80.82,"-16.34
",유통
227840,현대코퍼레이션홀딩스,12600,12665,12800,12600,6.47,1947.449768,0.274385072,23.58,23.58,25.89,16.38,"-23.58
",유통업
230240,에치에프알,22400,22559,23000,22200,-14.14,-1584.158416,-0.540106952,26.18,20.64,36.8,38.71,"68.61
",통신장비
241520,DSC인베스트먼트,6060,6083,6150,6010,6.96,870.6896552,-0.372591006,-18.68,24.4,27.37,21.23,"79.93
",금융
298060,에스씨엠생명과학,20050,19954,20400,19750,-22.84,-877.8458844,-0.654628833,34.89,23.08,23.08,-18.27,"55.45
",제약
